最满意的一点,最不满意的一点,空间,动力,操控,电耗 ,舒适性,外观,内饰,Column11,Column12
1：不用加油，车身小巧，老婆停车开车都很方便，2：和我置换的A5一样都是无边框车门。,1：做工粗糙，油漆非常薄，而且有很多太阳纹。2：下雨天前后门四面玻璃有严重的吱嘎声，异响严重。3：车子缝隙很大，做工不精致，严重的左右不对称。4：噪音太大，车内温度过高。头皮晒的发麻。,空间后排空间很差，只能坐两个人，地盘和避震偏硬，舒适度很差,动力提速很轻快，踩油门后没有迟钝，但是没有换挡的那种感觉，少了很多驾驶乐趣和灵魂,操控转完半径较大，倾斜度也较高。高速转弯车内乘坐人员会严重的倾斜,电耗车子广告460公里，充满电显示420公里左右，但是实际市区跑，只能跑300公里左右，虚标严重,舒适性舒...,,,,
加速能力，3.3秒太快了；操控、底盘，原来开短轴W204的C260，model 3P更好开，更扎实,的确没有豪华感，但比2020款配置好多了，油漆有点嫩,空间日常通勤用的，一般就是自己或者两个人，后排偶尔坐人，短途还可以，长途没有开过。,动力双电机全轮驱动，扭矩一下子就上来了，跟油车不是一回事情,操控指哪打哪，全轮驱动，由于电池在底部，高速过弯信心实足,电耗一开始地板电比较多，电耗高一点，家充一周两次，现在算下来一公里就五六分钱,舒适性座椅还可以，比较舒服 主副驾驶都是电动而且都有腰托，隔音一般，虽然是双层玻璃，,外观前脸和侧面45度真的很好看，尾部个人觉得太厚重了...,,,
加速贼快，操控一流，不用加油，等人的时候用屏幕看电视不错，然后外观酷炫，无框车门电动尾门无线充电都很香,后排噪音有点大，悬挂有点硬，刹车不太好，如果开的太快得小心,空间空间：前后排空间都很大，后排坐的时间长会有些容易不舒服,动力动力：加速推背感很强，秒杀各种油车，加速没有任何顿挫感,操控操控：操控非常好，悬挂有点硬，底盘有点低，跑了几次山路容易刮底盘,电耗电耗：市区开的话完全够用，现在充满电显示都是四百二十多公里，夏天不知道会不会提高,舒适性舒适性：还是比较舒适的，除了悬挂硬点，高速上开时间长容易腰疼,外观外观：外观非常酷炫，黑色漆有点薄，不过无所谓了过两年换个别的颜色...,,,
动力外形 也没啥说的 操控也可以！！用车成本真的太低了 油门随便踩每公里几分钱,新车味道太重 没条件装充电桩的暂时不用考虑电动车了 超冲没用过 国网的充电桩也就三四百公里每小时,空间空间：都175以下坐5个没啥问题 超过180前排能坐坐 后面就比较难受了,动力动力：这点不用说了 地板油体感3秒 路上95%的车都能崩0.0 个人感觉动力过剩了,操控操控：比三系要好 方向盘一圈打满 油门响应真的一绝 比油车好太多太多了,电耗电耗：家里有充电桩真的太香了 随便怎么踩 一百公里也就几块钱的电,舒适性舒适性：悬挂偏硬但是有韧性 不能和那些舒适性的车比了 噪音也在可接受的范围内吧,外观...,,,
动力，还是动力，那叫一个快尤其是这个P版，轮毂，卡钳，没得挑剔后备箱空间大这款的噪音减小了很多,就是这个联通网络，动不动唤不醒座椅稍微有点难受空间有点小希望下次工信部能把续航不要虚拟到605就480我觉得是最合适的下来就是全景天窗，不能打开没关系，起码弄个遮阳帘啊，成本很低的,空间空间还行，后排只能适合小孩子，胖的人不适合乘坐空间：我180身高，够用,动力动力，没话说，就是那个动力回收略有不习惯,操控操控很棒，特斯拉只有驾驶的时候是最爽的，猛踩油门就对了,电耗目前就17.5的样子，感觉能缩水个百分之十，不知道说啥好，我目前还没有充电桩，走哪吃哪,舒适性总体还行，30大几万，值了，...,,,,
操控精准、外观时尚、科技感爆棚、智能驾驶系统优越,底盘调教比较硬朗，乘坐舒适性有待提高，车载控制系统还可以更近一步向用户需求倾斜。,空间175cm身高体重72公斤，乘坐空间非常满意，够用即可，平时基本上就我和爱人最多带上孩子够用了。,动力电动车提速不用我赘述，同一价位基本上没车能比,操控专项精准不拖泥带水，因为底盘调校比较硬朗，自然车身姿态也是非常优秀的，操控极好,电耗基本上只能说够用，不能说优秀，还好充电速度比较快,舒适性因为要得到更好的操控性能，自然舒适性就得不到保障，舒适性相对如此操控的车辆来说还是不错的,外观外观也就不用我在说什么了，仁者见仁，智者见智，我个人比较喜欢,"内饰
...",,
加速足够快，操控稳，买车主要是因为两地通勤，油车使用每天90公里，油耗大概9L,开了没多久，走颠簸路面的时候有异响，跟烦躁,空间空间：一个人坐完全足够，后排也是平的，做起来不阻挡,动力动力：动力强劲，提速快，基本秒杀燃油车，红绿灯都是第一个出去的,操控操控：方向盘重，但是稳定，高速过弯都没有问题，试过高速过弯都没有问题,电耗电耗：目前开起来电耗大概在10到15和驾驶习惯有很大的关系,舒适性舒适性：悬挂不能说硬，那是特别硬，减速带感觉要被震出来了,外观外观：外观颜值太高，蓝色骚的一批，看起来太舒服了，其他的都可以接受,"内饰内饰：内饰太简单，只有一个大屏幕，哎，全了吧，能看就可以了
...",,
内饰简约不简单 做工感觉比老款好点 不知道是不是心理作用,还是做工和续航吧 其他的暂时还没发现哈哈,空间比思域大一丢丢吧 我上一台车好就行 要是出L版就完美了,动力动力还是挺炸的 不缺钱的建议直接上P版！,操控才开100多公里 还没感受到 听说操控是顶级的 希望不会失望,电耗现在看着好像还挺准的 开了100多公里 大冬天的 感觉比想象的还是好点,舒适性还不做 质感还可以 可能要求不是很高吧 比较满意,外观外观还算比较满意 比较耐看型 跟我一样 嘻嘻,内饰内饰喜欢！！！ 好像没啥毛病 做工也比老款好了很多,性价比我是一颗小韭菜 不降价就是最高性价比的特斯拉,为什么最终...
有一说一：特斯拉的品牌号召力还可以，超级充电桩也方便快捷的。优于市面其它品牌用国家电网充电的效率和便捷。后驱车的整体操控来说还是不错的。,底盘质感对不起这个价位，高速超过90公里/小时噪音有点吵了。论美国车的做工那就跟美国人一样随便懒散惯了，特别的粗糙内饰门板和门槛间隙毫不夸张的说可以插进一根手指头。跟高级无缘只能说是简约设计内饰了。后尾灯开了一段时间以为尾灯边缘被烤化了，塑料有焦化流动的形态。跑去维修中心看到隔壁新的展车都这样，工作人员解释说：就是这个工艺，差点意思。当时太尴尬了。,空间空间我给4星原因，后门上下老人孩子极其不便且不友好，可能座位和门开的间隙设计妥协安全或者外观等，但的确在实用性方面还是不太友好！前后储物空间比较赞非...,,,,,,,,
省钱！国网波谷电价0.3783/度，充一次40度电左右，跑270公里左右（20%-85%），再加上偶尔超充用用（免费2800公里左右），是真省，以前2个星期去一次加油站，现在一周或两周充一次电，油价涨还是跌？和我没关系啦,车漆太薄了！不管是免费的黑色还是加8000选的白、银、蓝、红，普遍存在的问题就是车漆薄，容易留下各种痕迹（包括洗车时的太阳纹、擦车巾留下的痕迹，其他车辆开门留下的印迹等等），太脆弱了。所以很多车友在提车后都选择去改色膜或隐形车衣，对于用车成本支出又是一大项,空间空间够用吧，我是油车B7迈腾换的model3，B级车的标杆迈腾，空间很大很大，model3比起来算不上B级车，紧凑级车型差不多，前排空间反正就这样，后排的话，一般...,,,,,,,,
1.续航能力：90%电量表显464公里，夏天实际续航464 +，因为有能量回收，能够即使把过盛的能量回收，进而增加续航里程。2.动力：没有换挡的顿挫感，轻踩踏板就能得到很清晰的动力反馈，深踩一脚，推背感随即而来，零百加速5s+，起步到120km/h很轻松，从120km/h到160km/h虽然不够激进，但是能感受到游刃有余。3.外观...,,,,,,,,,,
外观不错，操控优秀，底盘扎实，动力不错 大玩具,内饰等于没有 做工相比同价位的车烂得不行 后排头部空间和腿部空间较小,空间空间：空间在B级车里边算是最小的一档了吧，可能跟标轴的3系差不多，后排还没卡罗拉之类的大，不过没所谓 家里人也不高,动力动力：百公里5秒多加速还是挺快的 刚上手的时候觉得很猛，踩多几次觉得也就那样.现在开百公里7秒以上的车会感觉很慢.电门很灵敏，给多少去多少，跑高速超车很轻松.不过时速超过100以后动力储备储备就感觉明显下降了，但还是比大部分车快的，动力挺满意的还.脚踩多少多少去多少，很好掌控 就是动能回收系统的存在需要慢松电门不然乘车人会很难受.现在新款不能调低动能回收估计更难受,操控操控：操控优...,,,,,,
最初的想法就是被外形吸引了，用了一段时间发现电动汽车绝对是个绝对正确的选择，家有充电桩，充电很方便。并且公共充电桩还在不断刷新着充电的便利性。不用刻意保养，就是保养也是便利的很，省钱的很。保养费用低，电费便宜，不用交税，保险也不贵。对这台车的设计，动力，速度，操控性，能耗，智能驾驶，车钥匙，外形都非常满意。车辆使用给了我很好的体验。可能是我的第一辆电车，但绝不会是最后一辆。电动汽车绝对不是单单外形上的差别，我认为是汽车的又一次升级或者进化。如果等车子多年后可以用很低的价格更换电池的话，我想就是新能源的又一次革命。使用一段时间再回到油车，感觉电车的合理性更高。这点只有开过特斯拉的才能体会的到。,1、续航里程低了点，又不想多花6-7万换个长续航的版本。...,,,,,,,,,
外观：轿跑的外观完全能满足任何一个男人的跑车梦，虽然买这个车的人多但每个车都有不一样的外光，有有个性的毛豆粉们都为爱车添加一些个性化的配件，所以不用担心没有个；配置：科技配备方面在同级别、同价位车型中相当具有竞争力，都说特斯拉是一款可以进化的车，真的是名副其实。经常会有软件更新的提示，友情提醒一下，更新时要熄火，完成后再发动；动力：开燃油车开习惯的的人，还真是有点不习惯电动车的动力，强烈的推背感让人大呼过瘾；操控：底盘的调教在同级别车型当中难逢敌手，精准的操控特别舒服；,内饰：中控下方的材质略感粗糙，空间虽然大但是没有做好区隔，所以比较浪费；能耗：一方面是刚开电动车，自然掉电着实让我难以接受（充到300KM，在家放了4天变成了110KM），开着行车...,,,,,,,,,
加速性能，驾驶感受，整体操控很棒，中控操作科技感，Autopilot辅助驾驶功能，OTA升级。,整体做工确实有待提高，中高速隔音静谧性有待提高，车窗车门有异响。,空间说实话乘坐空间，前排没问题，后排乘坐舒适度差一些。轴距2875mm，腿部空间对于一辆只有4694mm长度的车来说是不错的，但是由于电池布局在底盘，所以地板偏高，座椅长度较短，我180mm身高，坐进去并不能对大腿有很好的承托，坐姿并不舒服，后排乘客的脚也不能放进前排座椅底部，也影响了脚部空间，好在后排地板是纯平的，这点还是好评的，全景天幕，一定程度增也加了通透性。储物空间总体是好评的，由于是怀挡，中控下方都是储物空间，而且都很深，外加两个杯架，足够用，车门储物空间表现是正常水平...,,,,,,,,
1.品牌影响力大（MODEL3出来前，特斯拉都是70万以上的价格，MODEL3出来后，让普通人花20多W就可以开出人们眼中豪车的气质）；2.颜值高（跑车外形，我相信见过这个车的人应该还没有说它不好看的吧）3.L2自动驾驶系统（在高速巡航，和堵车跟车的时候，这个自动驾驶优点谁用谁知道）,我认为最让人吐槽的地方就是它的自动雨刮：1.下大雨的时候识别很慢（场景：从隧道里面出来后，大雨淋到前档一片模糊时候，雨刷还没有启动）2.雨变小时，雨刷还是快速档位，不会随着雨势的增大和减小迅速的调节雨刮的速度快慢。,空间驾驶室和副驾驶空间可以前后上下自由调节，我身高182CM，体重88KG，驾驶室空间感觉游刃有余。后排我是没有在行驶中坐过，但问及乘坐过的人，...,,,,,,,,
从考虑换车到新车提回家，一共用了七天时间，本来没有考虑特斯拉的，选这车实在是意外。媳妇一眼就被外观俘获了，再加上这个价位享受高科技电车，怎能不香！无框车门、全部是天窗的车顶、极好的加速感受，这些都是同价位别的车无法给予的。另外，定车时候销售说得等半个月到一个月，结果订完车第二天就打电话说有车了，而且还是松下电池，幸运度满分有没有。车的生产...,,,,,,,,,,
1 提速快，随时超车，当然也可以随时加塞（不提倡）；2 辅助驾驶缓解右腿压力，虽然是基础版，但基本够用了，自动跟车巡航再封闭道路还是比较好用；3 电子化的一切设置使得这个车用起来很便利，上车就走，下车走人，无需拉手刹、挂P档，锁车门等等；可能电车都是这样；4 充电方便，外面有超充，家里有电桩，不担心续航；标续的话，最好是第二辆车，如果就一台车，建议长续航；5 外观也还不错，白色已经是街车了，黑色不喜欢，其实性价比最高，蓝色和灰色太低调，最后选了个红色，希望在停车场找起来更容易,1 导航不行，不人性化，反应慢；实在是太差，规划的路线也不是最佳的，另外有时候还会通知错误2 座椅不舒服，太小，太短，没有包裹性；虽然座椅长度数据比较大，但是就是坐着不舒服，...,,,,,,,,,
红外白内大轮毂，颜值高百看不厌。加速迅猛，在路上超车很有自信，再也不用开我那辆小破车了哈哈！！车子科技感很足，加速够用了，也不用拿它来比赛啥的，续航510KM满足日常使用，外形好看，做工还不错，是个惊喜。提车的时候南京特斯拉交付中心服务十分不错，之前在网上看各种车黑说服务很不好，去了感觉还行。车子标配16个音响，对于我这种音乐控来说是福音...,,,,,,,,,,
1000公里以内确实费电，能耗持续在百公里18左右，过了1000公里基本慢慢降下来，在13左右，这个包含偶尔地板油超个车啥的。优势非常明显重心很低，驾驶感很稳，加上标准模式的方向盘手感偏重，暴力驾驶很顺手。使用一个月除了充电盖有点问题，盖不紧，官方上门换了一个，其他都没啥问题。不过目前在深圳已经是街车了，到处都是，有点担心后续充电问题。很多人反应隔音差，胎噪、风噪严重，其实市区驾驶还好，当然对应的是这个价位的轿跑车型，不能与主打舒适型的产品对比，完全能接受，低速驾驶很安静，车速上60就比较明显，毕竟没有发动机声音，所以胎噪就更明显了。音响效果我觉得还是挺好的，对比了小鹏的丹拿音响，感觉不必那个高配的差，甚至还好很多。,车漆以及座椅是最不满...,,,,,,,,,
静态起步加速流畅，推背感很强，但是本人没有眩晕的感觉（因人而异，部分人有眩晕感）操控精准，转向手感偏沉，即便是舒适模式也是偏沉，运动模式下更加明显。外观属于轿跑风格，偏向于运动，无框车门，看起来还是有些高级感，走在路上回头率很高，做工没有想象的那么差，整体做工还是认可的，全景玻璃车顶无论是车内还是车外看起来很漂亮，即便外边40度也没有觉得很热，总的来说用车体验给95分，简洁的内饰功能集中在一块15英寸的屏幕上，用起来得心应手。不用传统钥匙开车门，上车不用打火下车不用熄火，怀挡挂上就走，红绿灯面前不用摘挡，轻踩刹车车就可以驻车，从此告别摘空挡松手刹。全车14个音响加一个低音炮，音效这一块绝对牛逼，有机会在车内看个电影，那环绕音效堪比影院。从此再也不怕等媳妇。避震偏硬，属性定...,,,,,,,,,,
开了几十辆汽车了。没有错我买过几十台汽车了，特斯拉，我简单直接说吧。特斯拉底盘悬架好，加速好，音响好。其它没有什么好的了。经常出现问题。比如屏幕死机，钥匙失灵，充电无法充电等等，等一下坏，等一下又自动好了。,刹车有严重质量问题，我向售后反应，他们说没有问题。我开了几十万公里的经验，开过几十台各品牌汽车，特斯拉刹车严重问题。问题是特斯拉踩急刹需要很大的力气才能踩下去。一般人根本没有那么大力气，所以平台车友会自认为已经踩到底了，因为已经很大力气了。所以不是大力士，建议不要买特斯拉，女司机千万不要开特斯拉。,空间空间：空间普通家庭完全够用，后排地坪很舒服。所以比一般车空间舒服。,动力动力：动力随叫随到。但是遗憾的是踩急刹需要太大太大力...,,,,,,,
用车几个月下来整体的体验感很不错，，开过电车可能接下来不要开油车了，没有油车的顿挫感轻松的电门一踩速度就上来了非常的????哈哈，续航的话我是标续三元锂电池一般会充到百分之九十，正常情况下不开空调不暴力开掐头掐尾差不多300左右吧，冬天续航就要弱一点加上开热空调可能也就200左右了一般城市开我觉得也够了，开长途的朋友建议还是入长续航比较好，现在新款有热泵可能就省电一点，自动辅助驾驶堵车的时候太好用了自动跟车好用，爆赞????,不满意的地方就是风噪大了一点，还有点车内异响，但我基本会放音乐也就覆盖了,空间空间：空间一般吧但家庭用车是够了前排空间够用后排稍微小点瘦小的坐坐还是够了后备厢容积：后备箱真的大能放好多东西加上前备箱也能放一部分小东西...,,,,,,,,
加速快，音响音质比想象中的好。使用起来极为方便，OTA升级每次都能给点娱乐新体验。送了一年免费超充，省了不少费用。额外消费项目不多，灰色车漆8000，全款买车也没什么附加费用，全国统一价，同款车型不存在谁买的贵与便宜。,冬天续航里程只有200多，200-260之间。后排空间小点，减震硬，方向盘很沉，所需脚垫、坐垫什么的配件比别的品牌贵。百度导航不好用，车灯铺路照射不均匀。充电桩还得单独买。,空间空间：后排空间小，虽然不怎么坐人，平时一个人开，顶多两个人还都坐前面。后排用处不大。储物空间满意，前后备箱都能放东西，后备箱底下还有个暗坑，但是没有备胎怕扎胎。中央扶手箱空间大，,动力动力：满分，加速快且平顺。开完这个再开别的车都能明显感...,,,,,,,
无边框玻璃 后置后驱 前叉臂后多连杆 满打一圈的方向盘，操控自然是非常棒，底盘也足够硬朗，我觉得已经胜过宝马3系了。除了操控，M3的智能水平当然值得称赞，即使没有选装6万多的FSD，自带的AP也比同价位很多车的ACC好用，可以跟停前车并能等待一定时间（很多车跟停3秒后就要脚踩 油门激活）。大屏幕也很好用，车机通过升级可以有不同的功能。整车就像一个电子产品。,方向盘虽然指向性很高，但力反馈不够自然，有点像玩模拟器，有点假。车机有时也出问题，比如死机。还有手机app非常不好用，经常连不上车。总之，有很多电子产品上出现的问题，这辆车都有。,空间空间：乘坐空间一般，感觉像紧凑型车。储物空间很不错，前后都是行李厢，跟保时捷718一样。,动力...,,,,,,,
路过展厅了解了一下，试驾以后感觉很好，就定了，开了一礼拜了，总的来说：好开，车灵活，车短好停车，怠速安静，省钱,没有什么不满意的地方，要是有的话，就是有点异响吧,空间空间：很好，没有发动机，车头都能储物，乘坐空间也很棒,动力动力：没得说，电流很直接，直接输出最大扭矩，超个车很简单，不需要想,...,,,,,,
小三的低风阻气动流场轿跑外形，稳固低重心灵活的操控，零迟滞的强劲扭矩和功率响应成就了同级顶尖加速特性：5.3秒破百。智能物联网OTA主动安全机器学习都是小毛豆的看家法宝。 抓大放小，值得拥有,做工还是和百年车企有些差距，行车时会有些异响，看在平均使用成本的份上就忍了,空间空间：空间还是不错的，给五星主要是...,,,,,,,,
满意的话可能是比较省钱吧，电车用起来成本很低，第二个是考虑到深圳绿牌，蓝牌拍太贵了没必要，然后颜值也还算不错，算是蛮漂亮的，适合年轻人，买它也没啥可后悔的，第一辆车，还行了,噪音，路噪明显，车内会有咯吱的响声，不知道别人的车有没有，内饰极简，其实看久了也还好，这个不算什么缺点吧，没备胎，有点怕跑长途，加上旅程焦虑，挺担心开到路上没电了就搞笑了,空间空间：我平时一个人用车，所以空间对我来说足够，带朋友也正常，前后排表现都不错,动力动力：这个车动力还是可以的，跟油车不同，它随踩随有，加速没有迟滞感，这点还是可以的，爬山掉电很快，能耗非常高，也能上得去，但是最好别开着车爬山，不然你下不来了,操控操控：方向盘还可以，我觉得不重...,,,,,,
最满意还是model3的加速了，刚提车那会在市区秒天秒低秒思域，基本不给其他车超车的机会，红绿灯最后几秒总能从容应对，一脚油门就可以轻松卡进那最后几秒。操控性也是一级棒，得益于电动车的低重心以及那几乎感受不到虚位指哪打哪的方向盘，用来跑山真的是一级棒。最后满意的他的内饰，这个看人的，我比较喜欢极简的内饰，毕竟再奢华的内饰你开车的时候也是看着窗外谁会在意车内是否豪华呢哈哈哈，而且物理按键多装饰件多意味着更高的故障概率（这是我猜的，以前开雪弗兰内饰老坏）,最不满意当然是怕被割韭菜了，长续航还没降过价好慌啊！还有就是头顶的玻璃简直就是一个太阳能热水器，夏天开车头顶那块热热的。还有就是续航里程水份大，这个水份不是说开不到标称的里程，而是说平时车停着就会掉电...,,,,,,,,,
适合自己一人开，模样好看，有点回头率，比汽油车省钱，家里安装了充电桩，充满一次电35块钱左右，老婆每天70公里路程，按照百分之90充电，每周要充1-2次，充满百分之百的话是380公里续航。超车简单，加速比较线性随叫随到，操控感好。车里的大屏幕停车时适合孩子看动画，儿子倒是挺喜欢，但开车时会自动关闭。后期除了易损件（雨刷和刹车片，空调滤）也不用去保养车，省了很多时间，女的对这方面也是搞不太明白,减震比较差，像坐在地上…跑长途我是不会考虑开它，地面反馈太直接。雨刷感应笨的要命。漆面比较薄，刚几天就被路上小石头蹦掉漆了，做工不考虑太多的话还能接受。车上一堆摄像头确不支持全景倒车影像。刚提车几天车载电话完了出现电流声，但去店里恢复了一下出厂设置，目前没再犯...,,,,,,,,,
是同价位的纯电动车里性价比最高的一款车，长续航版本可以满足更多的需求。特斯拉可以说是目前市场上最火爆的电动汽车了。品质和性能都是有保证的。这款车拿到手非常惊艳，外观很美。,这辆车的降温效果不是很好，大夏天35度的时候坐进车里就像是进了蒸笼。而且隔音效果也不是很好，下雨的时候耳朵吵得很。,空间空间还可以，身高180坐着不会觉得憋屈，但也不是那么宽敞，毕竟这款车的体量没有那么大。一家4口乘坐完全没有问题。,动力幸亏这款车的重量算是比较轻的，所以动力还可以。方向盘的手感偏轻，上路会有一些颠簸，但都在可以接受的范围内。刹车特别灵敏，不会很死。加速非常平稳。,操控方向盘会有一点点虚的感觉，但是好在操控感很跟手，同时方向盘很轻，开...,,,,,,
外观炫酷，用车很省钱。上班来回80公里，以前每天的油钱差不多30块钱的样子。开上电动车之后，每天10度电的样子，晚上充电价格3毛一度，相当于3块钱一天，按照贵的算也不过6块钱一天。,制造品质和底盘质感不如豪华品牌。在使用初期出现过一次充电中断死机，还有前门遇到颠簸异响。底盘对颠簸过滤一般，短波路面车身上下起伏比较明显。,空间空间利用率很高，储物空间多了前引擎舱，后备箱下方的，应对日常出行绰绰有余。,动力电动车加速感连贯，5秒的百公里加速能力真的可以秒掉街头绝大多数车型。但买这车也不是为了飙车，还是从使用感受上觉得电动车的趋势势不可挡了。,操控操控指向不错，唯一的缺点是转弯半径略大。,电耗电耗比起油耗真的很划算...,,,,,
"有车就不错了，不挑。
非要说一个，那肯定是科技感！
再说一个，应该是提速！",驾驶位置的座椅不舒服，自己驾驶的模式和自动驾驶模式都没找到舒适位，感觉有点窝进去了,空间空间：一家三口肯定是够用了，总比滴滴专车方便又省事,"动力动力：请扶稳坐好，不然容易吐出来
买车的冲动就来源于试驾时感觉到的动力",操控操控：有辅助驾驶，感觉有个教练做旁边帮着转向和踩刹车,"电耗电耗：推荐的日常电量（85%）大概能跑300公里左右
特斯拉超级充电桩体验很好，自己家有车位，平时一点不担心没电","舒适性舒适性：座椅，真的不怎么舒服
头顶大玻璃适合理发店烫头",外观外观：各有所爱吧，目前新能源车外观都比较新颖，这个大小对自己刚...,,,
启动和加速是我最满意的环节，没有时滞，一气呵成，所有速度段都很平滑没有变速箱的顿挫，没有发动机的轰鸣。安安静静地启动跟车，比燃油车很容易跟上前车。,一定要挑刺的话，方向盘有点紧。没贴膜的前挡有点晒。,空间空间：一个人开上下班这个空间不用挑剔了。驾驶座高度可调范围很大，加上方向盘也是，所以大部分人可以找到一...,,,,,,,,
提速快，后排空间大，空调比较炫酷。外观颜值高，开在路上，回头率超高。,行驶过程中，胎噪明显。之前论坛上吐槽的那些缺点他都有。提车第二天，黑屏一次；轮胎比较娇贵，提车15天，更换了一个前轮，花了2300大洋。轮胎没有质保期。接二连三的故障把我对model3的爱磨没了。,空间和B级车还有差距，但绝对够用。因为轴距很长，车身很宽。多了个前备箱，所以储物空间绝对够用。,动力动力绝对牛逼，只要你想飙，红绿灯冲出去绝对是第一个，并且可以让人家看不见你的尾灯。,操控方向盘偏重，女士可以调节到轻松模式。另外A柱有点挡视线，盲区很大，拐弯需要注意行人车辆。,电耗要想保护电池，充电的时候不能经常充到90%以上。所以我设定了20%...,,,,,
1、动力：官方标的5.3秒，因为不知道怎么实测，所以还没实际数据，但平时使用基本都是想超车一踩就过去了，信心很足，底盘也很稳。2、操控：由于是人生第一台车，也没有好对比的对象，开过老爸的朗逸和途观L，途观L开起来没特殊的感觉没乐趣，没什么缺点，途观L操控也没什么好说的毕竟算中型了，方向盘小巧转向轻盈算吗？对比model3由于低重心优势，过...,,,,,,,,,,
提速快，秒杀路面99%的车；用车成本低，一公里不到1毛钱比坐公交还便宜；操控好底盘厚重，朋友说比他的3系操控还好；无框车门装逼神器，前脸像保时捷女性朋友都很喜欢这个车。,隔音差路躁风噪大，座椅短，底盘硬烂路颠的脑壳疼，跑长途不方便。,空间空间还可以就是座椅太短烂路坐起来不舒服，好路开起来如切牛油般顺滑,动力推背感强动力持续不断朋友坐了直呼头晕，目前红绿灯实战没输过，还没遇到百万级超跑,操控指向精准没有一点虚位，三洲田跑山极限很高,电耗3毛钱一度电在意什么电耗，怎么爽怎么来，开车之前提前就打开空调,舒适性好路还可以，烂路非常痛苦，能把肾结石颠出来,外观外观满意非常时尚拉风，无框车门，18寸轮...,,,
购车时可选的续航最长的车，松下电池还可以,拜托好歹是双叉臂悬挂，能好好用心调教一下吗？,空间空间：4.6米的车，后排空间没想象中那么局促，后备箱好评，而且还有电车独有的前备箱，放点东西没啥压力乘坐空间：还算是舒服,动力动力：电车还用评动力吗？高速上加速也给力，能达到预期,操控操控：很多人说model3好开，拜托连十几万的马3操控都比model3强好吗？我实在不懂，主打运动的车，就不能把悬挂用心调一下吗？转向灵敏和操控好是完全不同的概念，车上是有驾驶风格的切换，但这种电脑控制的数字玩具能跟工厂车间里工程师的汗水相提并论吗？这么说吧，运动模式，仅仅是把方向盘机械化的变沉了，转向时完全没有力的回馈，这样在高速上驾驶很不舒...,,,,,,
外观拉风，提速快，至今都是用轻松模式出行，一块大屏浓缩所有功能，简单粗暴，习惯以后发现没有仪表盘也挺不错的，ap辅助很有用，至今已经出现两次险些追尾都避免了,主副驾驶经过特殊路段会有异响，底盘调教过硬，手套箱打开方式比较麻烦,空间空间：储物空间很多，后排空间只能说够用，跟bba的b级车型比还是差点意思，毕...,,,,,,,,
非常好用的辅助驾驶功能“AP”车道保持，主动跟车，自适应巡航，自动刹车甚至根据路线限速，自加减速，避免超速驾驶。完美的钥匙，手机蓝牙，卡片，实体，远程网络控制车机升级，限速，充电，通风空调等。方向盘稍微偏重，转向力度调节范围小，但是不可思议的配置了电动高低前后调节，且可以根据用户记忆，搭配电动后视镜，电动座椅，真正的根据车钥匙自动调节。视野非常好，车头没有盲区，两侧面，后尾都有高清摄像头，白天，夜间效果非常好，且360度全方位厘米显示障碍物距离。甚至行驶过程中3D显示周边车辆。车胎，滤震很棒，胎噪几乎没有，抓地力足够，耐磨性一般，缺点不是防爆胎。玻璃完美， 前档优异的减速玻璃，100的时速感觉像70，也许车内太安静了。真正的low E全景天窗，无...,,,,,,,,,,
操控和动力满分。电车开着很爽的。试驾解答一切。,电池衰减严重。尤其是冬天，更完犊子。满电200km吧。春天刚拿到车的时候，表显384km，在北京市内实际上跑430km没问题。从秋天开始，续航就开始拉胯。到现在12月初，满电就只能200km,空间我184cm，坐驾驶位副驾驶都没问题。后排太次了,动力无与伦比。无需多言。,操控非常满意。试驾解答一切。,电耗头半年挺好的。后来就费电了。但是电费真便宜??,舒适性过减速带略硬。可接受范围内,外观帅。一开始对内饰接受程度极低，觉得奇丑无比。适应了之后，反而觉得很舒服，简洁明了的。很好。,内饰同上,性价比性价比还好吧。电车最重要的我...,
科技感十足，外观漂亮。提速较快，超车毫无压力。自动辅助驾驶还是挺方便省心的，不过城市里最好不要随便用，太多的车和行人，随时自动急刹车，很不舒服，容易让人晕车！,个人感觉，车门的拉手设计是败笔，虽然标新立异了，但不方便。双手都拿着东西的话，很难顺利打开车门。再一个，倒车时嗡嗡嗡的声音不喜欢，不知道能不能关掉。,空间空间：中级轿车，空间一般。满足基本家庭使用功能。,动力动力：加速特快，猛踩电门，推背感能让人头晕，都有过山车的感觉了！秒超各种车毫无压力,操控操控：驾驶操控性能好，转向灵敏。特别喜欢自动巡航的跟车功能，自动减速和刹车，省心。,电耗电耗：自己有车位，安装了充电桩，电耗基本不在意了，回家停车即...,,,,,
动力，安全性，自动驾驶，使用成本低。,如果没有充电桩，那就是噩梦。快充经常被燃油车占了。,空间空间：空间对于b型车来说，算一般的。家里还有一台燃油车MPV，乘坐舒适性比特斯拉好，空间更大。特斯拉空间一块，在同级别比较，只能算及格，不算特别突出。,动力动力：加速表现：加速表现几乎是无敌的存在，本人不喜欢太强烈的推背感，所以驾驶调成了轻松模式。即使轻松模式，依然秒杀路上90%以上轿车。动力平顺性：电动车，比手自一体，双离合更平顺。跟cvt差不多，但扭矩比cvt大。跑高速：高速一脚电门，直接飙升到150公里每小时，还有很多余量。。。不敢超速。但高速电耗非常快。横向对比：经常在群里面听别人吹嘘自己的宝马3动力如...,,,,,,,
